Rank,Peak,All_Time_Peak,Actual_gross,Adjusted_gross_(in_2022_dollars),Artist,Tour_title,Year(s),Shows,Average_gross,start_year,End_year
1,2.0,8.5,253242278.0,780000000,Taylor Swift,The Eras Tour,2023-2024,56,13928571,2023,2024.0
2,2.0,8.5,253242278.0,579800000,Beyonc,Renaissance World Tour,2023,56,10353571,2023,2023.0
3,2.0,8.5,253242278.0,560622615,Madonna,Sticky & Sweet Tour,2008-2009,85,4835294,2008,2009.0
4,2.0,8.5,253242278.0,454751555,Pink,Beautiful Trauma World Tour,2018-2019,156,2546795,2018,2019.0
5,2.0,8.5,253242278.0,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,2018,2018.0
6,2.0,8.5,253242278.0,388978496,Madonna,The MDNA Tour,2012,88,3467709,2012,2012.0
7,2.0,8.5,253242278.0,381932682,Celine Dion,Taking Chances World Tour,2008-2009,131,2137405,2008,2009.0
7,2.0,8.5,253242278.0,257600000,Pink,Summer Carnival,2023-2024,41,6282927,2023,2024.0
9,2.0,8.5,253242278.0,312258401,Beyonc,The Formation World Tour,2016,49,5226215,2016,2016.0
10,2.0,8.5,253242278.0,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,2015,2015.0
11,2.0,8.5,253242278.0,283202896,Beyonc,The Mrs. Carter Show World Tour,2013-2014,132,1735606,2013,2014.0
12,2.0,8.5,253242278.0,295301479,Lady Gaga,The Monster Ball Tour,2009-2011,203,1118227,2009,2011.0
13,2.0,8.5,253242278.0,251856802,Katy Perry,Prismatic World Tour,2014-2015,151,1350993,2014,2015.0
14,2.0,8.5,253242278.0,299676265,Cher,Living Proof: The Farewell Tour,2002-2005,325,615385,2002,2005.0
15,2.0,8.5,253242278.0,281617035,Madonna,Confessions Tour,2006,60,3233333,2006,2006.0
16,2.0,8.5,253242278.0,227452347,Pink,The Truth About Love Tour,2013-2014,142,1295775,2013,2014.0
17,2.0,8.5,253242278.0,213568571,Lady Gaga,Born This Way Ball,2012-2013,98,1734694,2012,2013.0
18,2.0,8.5,253242278.0,207046755,Madonna,Rebel Heart Tour,2015-2016,82,2070732,2015,2016.0
19,2.0,8.5,253242278.0,204486106,Adele,Adele Live 2016,2016-2017,121,1385950,2016,2017.0
20,2.0,8.5,253242278.0,185423109,Taylor Swift,The Red Tour,2013-2014,86,1744186,2013,2014.0
